AMAZON,MICROSOFT,FDX,Netflix
12.77400017,23.69944763,85.01291656,23.52285767
12.94750023,23.60861015,84.79037476,23.29428673
13.05700016,24.45089149,84.87049866,24.19428635
13.23849964,25.00415611,87.19387054,23.72428513
13.49250031,23.89762497,86.04554749,24.7157135
13.64350033,23.77376175,85.75177002,24.74285698
13.38599968,23.6911869,84.30966187,25.2142868
13.61699963,23.92240143,84.69244385,25.12142944
13.36999989,23.80679321,83.78449249,24.19428635
12.97099972,23.77376175,81.78155518,23.40285683
13.01599979,24.58301163,82.24443054,23.33857155
13.17749977,25.45833015,82.34236908,24.90999985
13.44499969,25.26840019,82.938797,30.9985714
13.43900013,26.22628975,84.08713531,30.95999908
13.73499966,26.37491608,83.94470978,30.5357132
12.74050045,26.25105667,83.83786011,30.79285622
12.48700047,26.92818451,83.45508575,30.7157135
12.69050026,27.33280373,83.68655396,30.86714363
12.41149998,27.01901627,81.8972702,30.41571426
12.62749958,27.38236046,82.15538788,30.6414299
12.90250015,27.65485191,84.14055634,30.49285698
12.78600025,27.86954308,85.66278839,30.09857178
12.88650036,27.50621605,88.59146881,29.4642868
12.93400002,27.24197388,90.75463104,29.80142975
13.00800037,26.96947289,89.40153503,30.91571426
13.18150043,26.99424362,89.12561035,31.09857178
13.22550011,27.27499962,87.95054626,32.76856995
13.41650009,27.88203621,89.62408447,33.42428589
13.32800007,28.14813042,89.26804352,34.77142715
13.20600033,28.33940506,88.07515717,33.86142731
13.49499989,28.99632645,89.06329346,34.1428566
13.38150024,29.17095566,90.06918335,34.22142792
13.44299984,28.97968674,90.95044708,33.86999893
13.14799976,28.78011322,88.70720673,32.65142822
13.09000015,28.39760971,88.21759033,32.31142807
13.08699989,28.49738503,87.07817078,32.6771431
13.36450005,29.12106133,85.92980957,30.59857178
13.27649975,29.00464249,85.94764709,30.76285744
13.34150028,29.12937355,85.9209137,31.80857086
13.46000004,29.02127075,85.76067352,32.32143021
13.34399986,29.59505081,86.97132874,31.70999908
13.28499985,29.09610367,87.57665253,32.18714142
13.35849953,28.92149162,86.42830658,31.92285728
13.39150047,29.07115936,86.2057724,31.1057148
13.84350014,29.66156769,88.82292938,31.45999908
14.05350018,29.49526024,87.82592773,31.56142807
13.73900032,28.97137642,87.27400208,30.63714218
13.58349991,29.10441971,86.78439331,29.66285706
13.78950024,28.87158966,88.78150177,30.77000046
13.69950008,28.60549927,88.37138367,30.56999969
13.90299988,29.10441971,87.73838043,32.74714279
14.0880003,29.08779526,88.69232941,32.68999863
13.90799999,28.76348305,89.6374054,33.18714142
13.67199993,27.84877396,85.33116913,31.93142891
13.66800022,27.66583824,85.99981689,30.98571396
13.53050041,28.04004288,85.50054932,30.79999924
13.60449982,27.99845695,86.65067291,30.41428566
13.87849998,28.56391907,87.70271301,30.29999924
13.87749958,28.7884388,88.59429932,30.70999908
13.88449955,28.72191238,87.8899231,30.15571404
14.10499954,28.57223511,88.1663208,32.04000092
14.1864996,28.22297668,87.61353302,31.63714218
14.20149994,28.28118706,87.16776276,31.55857086
14.29399967,28.44749451,88.22872162,32.15714264
14.52950001,28.54727936,88.11283112,33.29999924
14.57649994,28.56391907,91.96434784,35.34000015
14.6164999,28.8549633,91.83065033,34.83142853
14.9829998,29.67820168,93.07879639,34.88142776
15.37749958,29.66156769,91.19760895,36.75143051
15.32849979,30.07733727,92.45471954,36.85428619
15.34350014,30.16051102,92.28533173,37.2114296
15.43449974,29.71977806,92.95400238,38.27428436
15.20549965,29.47031212,96.87684631,38.05857086
15.26150036,26.11083031,96.31517792,37.79714203
15.17399979,26.61807251,96.06552887,37.42285538
15.05300045,26.4600811,95.2096405,35.75143051
14.94699955,26.57649612,94.39833832,34.47142792
15.17000008,26.10251427,93.49785614,35.24856949
15.60050011,26.29377556,93.23930359,35.18714142
15.30500031,26.22725296,92.17832184,34.99428558
15.12049961,26.48502922,92.32988739,34.8228569
15.06099987,26.47671318,94.50527954,34.92571259
15.2784996,26.33535385,98.07154846,35.58856964
15.21049976,26.51829529,97.31370544,35.16857147
15.04950047,26.36029434,97.5544281,36.26285553
15.03750038,26.26050949,96.97490692,36.55714417
14.84549999,26.6596508,96.27059174,35.60142899
14.7869997,27.34984779,97.25131226,35.77142715
14.86299992,27.19185257,96.48456573,36.1071434
14.83450031,27.33321762,97.21562195,36.65714264
14.69849968,26.98987389,96.83226776,37.02714157
14.56700039,27.09036446,96.85009766,37.40142822
14.32349968,26.62141609,96.32410431,36.20142746
14.24100018,26.62978935,96.89467621,36.98143005
14.2784996,26.28644753,96.88579559,37.11142731
14.35449982,26.47905922,97.36721802,39.04142761
14.22850037,26.47068024,96.35082245,38.62428665
14.48649979,27.12386131,98.61540985,38.5357132
14.50049973,29.10016441,98.6867218,39.76571274
14.31050014,28.59771538,99.89032745,40.38857269
14.04650021,27.85240936,96.68961334,39.43428421
14.07900047,27.65143394,96.73419189,40.47999954
14.19900036,28.09525681,96.80553436,41.12142944
14.04899979,27.96965218,95.7178421,40.55857086
14.43999958,26.69678116,95.93177795,41.2857132
14.68200016,26.12733841,95.94071198,41.77571487
14.70499992,26.15246201,97.22457123,42.15856934
14.79300022,26.08546066,96.56390381,41.64857101
14.98550034,26.51255035,97.40310669,42.02142715
15.01799965,27.12386131,98.73337555,44.72285843
14.98200035,27.41695595,98.42980957,44.04285812
14.94299984,27.37508202,96.76925659,43.05857086
14.89599991,27.65980721,95.74252319,43.66428757
14.80300045,27.46719551,97.82270813,43.16571426
15.20849991,27.57606316,98.8137207,42.79285812
15.60149956,27.90265465,103.7865601,43.84571457
15.60299969,28.17063332,104.3043594,43.6428566
15.81700039,27.45882797,104.3043594,44.83285522
15.57450008,27.41695595,102.5902252,43.14857101
15.70650005,27.17410278,102.4205627,43.7842865
15.63249969,27.22435379,101.3938675,43.87714386
15.90600014,27.44208717,101.3849487,44.78714371
15.80049992,27.86079597,101.5724182,44.62857056
15.63199997,27.86916924,101.8759918,44.17285538
16.04750061,28.12038994,102.9026947,46.37428665
16.02549934,28.40510941,102.9205246,47.24714279
15.73799992,28.35486031,101.3760452,45.95999908
15.95199966,28.37160873,102.429512,46.75143051
15.50150013,27.88591385,101.5010147,45.45142746
15.16149998,27.64305305,100.0636063,43.18857193
14.91149998,27.69329643,100.5100327,41.20428467
15.2585001,28.27111816,102.7241135,43.4271431
15.54450035,28.58096504,103.4472809,42.97857285
15.53499985,28.84893417,103.0009003,46.33714294
15.31999969,28.88243484,107.2059402,45.95571518
15.52449989,29.00804329,110.0449753,46.12571335
15.53849983,29.24251938,111.7680588,47.15714264
16.44650078,29.2760067,112.8840561,47.6428566
16.3220005,29.30113792,113.750061,50.71285629
16.62700081,28.95779991,115.7855911,46.07428741
16.33799934,28.27111816,115.90168,47.1771431
16.61050034,28.23762894,117.4640579,47.31714249
18.16950035,29.92081833,117.9015121,46.86142731
17.90800095,29.78684044,118.3211136,44.8571434
18.13500023,29.74496651,118.8657455,46.75714111
18.05400085,29.76171112,118.5711441,45.44857025
18.20149994,29.65285683,116.955162,46.06856918
17.95000076,29.75334167,120.2138443,47.0385704
17.93700027,30.09668541,120.633461,48.22857285
17.94449997,30.68286896,121.6244354,48.7857132
17.80900002,31.97249794,118.5354004,47.94714355
17.1779995,31.40305328,116.5533905,46.69428635
17.51549911,31.63753319,118.3568497,47.84285736
17.71899986,31.47841072,118.3122253,48.27285767
17.47649956,31.28582001,120.1959763,47.67571259
17.81100082,31.95575333,120.7852097,47.89714432
18.37000084,31.83850288,121.8119659,48.93857193
18.45849991,31.68777657,123.7849884,49.9657135
18.30900002,31.15182686,122.4368439,48.82428741
18.24699974,30.99994087,119.633522,48.18428421
18.12849998,31.28682899,120.1513672,48.50285721
18.44599915,31.55683327,123.5438843,49.7857132
18.6154995,31.70026588,122.3743668,49.69285583
18.83200073,31.75934029,122.5082855,50.0342865
19.06850052,31.5146389,123.0350266,50.74285889
19.33550072,31.72558975,124.8652267,51.7842865
19.68099976,32.1727829,123.8295898,52.25714111
19.61499977,32.44277573,125.1777267,51.98857117
19.2329998,32.32466507,123.2403641,51.84857178
19.29800034,32.8562355,123.838501,50.89571381
19.22450066,32.06309891,123.4010468,51.15142822
19.34749985,32.36684418,124.4456406,50.63428497
19.24449921,32.66217041,124.8205948,50.81000137
19.38899994,32.15591812,123.7749176,51.87142944
19.10950089,31.73401642,122.0052948,51.99714279
